Number of dimensions: 4

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
10		0.032614	2.215083	0.151234	1.780561	0.605122
11		0.032367	2.218635	0.150652	1.871269	0.700930
12		0.032085	2.217056	0.150798	1.683681	0.354228
13		0.035152	2.359709	0.150482	1.876873	0.886792
14		0.032079	2.214492	0.151191	2.070169	0.667138
15		0.032536	2.213799	0.150232	2.001399	0.718191
16		0.032038	2.214475	0.151660	2.055951	0.884111
17		0.032925	2.213728	0.151545	1.667425	0.650983
18		0.032826	2.214369	0.151322	2.092994	0.871333
19		0.032975	2.254482	0.159641	2.144782	0.932984
20		0.033039	2.350734	0.151550	1.997459	0.705650
21		0.033185	2.215171	0.151831	2.137456	0.763865
22		0.035514	2.283778	0.159304	2.328539	0.997825
23		0.034337	2.280900	0.159589	1.971744	0.674841
24		0.034992	2.286777	0.162138	1.991408	0.701508
25		0.036231	2.260568	0.151622	2.108066	0.769316
26		0.032945	2.214365	0.151735	1.923113	0.567723
27		0.032966	2.215481	0.150755	1.785868	0.936395
28		0.032115	2.263644	0.151872	2.089894	0.580495
29		0.033054	2.217183	0.151782	1.932254	0.485879
30		0.033153	2.219262	0.151838	1.995182	0.596084


Number of dimensions: 16

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.117071	8.848043	0.417183	1.012069	0.221827
2		0.114815	8.842989	0.416781	0.982630	0.380813
3		0.115275	8.922132	0.418092	0.951685	0.269770
4		0.115579	8.844796	0.417012	0.927597	0.316578
5		0.114564	8.844545	0.417489	0.896724	0.429838
6		0.113849	8.957111	0.418006	0.933393	0.248133
7		0.116725	8.837366	0.417256	0.930049	0.301596
8		0.115630	8.836895	0.416845	0.959577	0.321953
9		0.115453	9.037948	0.419903	0.910477	0.306685
10		0.114610	9.072840	0.417298	0.911772	0.409471
11		0.114691	8.916319	0.417167	0.921780	0.516140
12		0.113947	8.836331	0.417496	0.961874	0.355917
13		0.115782	8.846309	0.417054	0.844459	0.563461
14		0.115427	8.846998	0.418154	0.982102	0.352355
15		0.115388	8.849875	0.418507	0.910042	0.342454
16		0.115597	9.062378	0.420410	0.921155	0.501151
17		0.114218	9.229882	0.420484	0.866332	0.255230
18		0.115171	9.422092	0.419969	0.896187	0.353870
19		0.114009	9.341125	0.417274	0.880370	0.298562
20		0.115437	8.938880	0.417795	0.947095	0.387439
21		0.115674	8.894663	0.417500	0.857741	0.302227
22		0.114674	8.902365	0.417647	0.896188	0.354344
23		0.116386	9.089506	0.418901	0.882009	0.345338
24		0.114654	8.879965	0.417730	0.893486	0.347148
25		0.113929	9.014077	0.420280	0.936722	0.344533
26		0.114578	9.414217	0.420027	0.979704	0.329468
27		0.114298	9.235846	0.416988	0.966877	0.357254
28		0.114564	9.069721	0.437171	0.868231	0.401994
29		0.115817	8.920124	0.417657	0.872740	0.299808
30		0.116103	9.368890	0.421049	0.889622	0.224087

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.117353	9.101889	0.418483	1.017386	0.365737
2		0.117709	8.881806	0.418025	0.958385	0.256395
3		0.117294	8.995037	0.417059	0.851092	0.563955
4		0.117581	8.901327	0.417319	1.081993	0.366488
5		0.117177	8.858905	0.417127	0.938393	0.301429
6		0.115617	8.858315	0.417711	0.974398	0.383814
7		0.117566	8.860997	0.418180	0.942600	0.306756
8		0.117640	8.857205	0.418251	0.930666	0.413438
9		0.117800	8.858235	0.417460	0.941623	0.450608
10		0.117873	8.852359	0.417521	0.871168	0.357712
11		0.117488	8.893113	0.417357	0.979820	0.389567
12		0.156245	9.118386	0.420158	0.976054	0.328751
13		0.117258	8.871875	0.417415	0.936773	0.375796
14		0.116797	8.948344	0.417158	0.958923	0.281975
15		0.116436	8.999196	0.420308	0.914904	0.324684
16		0.117052	9.091712	0.417693	0.937864	0.299082
17		0.117179	8.844020	0.417385	0.786378	0.360703
18		0.117122	8.875852	0.417345	0.923186	0.229079
19		0.117179	9.309811	0.419810	1.012146	0.460380
20		0.116742	8.956032	0.418218	0.898244	0.546366
21		0.117560	9.087702	0.417624	0.953992	0.459169
22		0.117241	8.843566	0.416996	1.056813	0.420322
23		0.116636	8.844284	0.417140	0.997279	0.593041
24		0.116742	8.932411	0.417358	0.843160	0.382718
25		0.116082	8.845497	0.416725	0.891340	0.346228
26		0.116046	8.844827	0.416968	0.884251	0.413785
27		0.116407	8.888023	0.417647	0.910039	0.236732
28		0.116686	8.836930	0.417289	0.915764	0.254514
29		0.116834	8.837539	0.416843	0.917322	0.409307
30		0.116577	8.837068	0.416846	0.939746	0.408118


Number of dimensions: 64

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.437930	37.089855	1.453243	0.468127	0.170117
2		0.451942	35.950912	1.452714	0.472927	0.189440
3		0.446556	35.725967	1.452203	0.454147	0.195036
4		0.437973	35.560452	1.451671	0.427248	0.239229
5		0.438425	35.827305	1.451796	0.414196	0.194410
6		0.437136	36.203876	1.452918	0.477450	0.191679
7		0.443110	35.878559	1.451770	0.476142	0.141238
8		0.435360	35.627769	1.477218	0.457255	0.210821
9		0.435232	36.047543	1.451899	0.498836	0.153522
10		0.438024	36.045536	1.451399	0.524616	0.161439
11		0.438330	35.756126	1.450209	0.461575	0.192015
12		0.435456	36.575912	1.452139	0.495681	0.117801
13		0.439639	35.639458	1.449960	0.436511	0.185688
14		0.437834	36.845585	1.451600	0.470859	0.173925
15		0.439982	35.696583	1.506127	0.448727	0.206974
16		0.442209	35.634056	1.450628	0.484192	0.202709
17		0.442408	36.254215	1.451746	0.457573	0.163870
18		0.441559	35.799034	1.494915	0.472316	0.214363
19		0.437187	35.876320	1.450720	0.481687	0.195450
20		0.433846	35.532177	1.452521	0.425552	0.228510
21		0.433864	35.794071	1.496274	0.456778	0.153000
22		0.446508	35.962864	1.452287	0.476641	0.278704
23		0.437759	35.798351	1.452067	0.483765	0.214649
24		0.439015	35.648151	1.451970	0.493693	0.134354
25		0.443786	36.275826	1.449844	0.444667	0.171611
26		0.440246	35.552299	1.451554	0.495160	0.197460
27		0.443326	36.069275	1.451701	0.448920	0.165743
28		0.445589	36.017593	1.450657	0.455858	0.228008
29		0.446617	35.763359	1.480823	0.433725	0.167142
30		0.437541	36.162125	1.452542	0.478973	0.248159

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.456744	36.189034	1.450503	0.469516	0.192424
2		0.454883	35.647591	1.453050	0.463180	0.210365
3		0.458390	35.722851	1.452281	0.438469	0.168412
4		0.456066	35.696304	1.451443	0.459777	0.183241
5		0.451077	35.738163	1.451230	0.430953	0.178321
6		0.455447	36.009712	1.450823	0.448369	0.166170
7		0.452791	35.763435	1.452321	0.448848	0.196619
8		0.455924	35.590744	1.455296	0.476306	0.206004
9		0.454907	35.541744	1.451756	0.463246	0.214895
10		0.455637	36.368229	1.450927	0.456954	0.209411
11		0.453854	35.765301	1.450935	0.531335	0.233679
12		0.454568	35.821529	1.460358	0.452843	0.115149
13		0.453809	35.684841	1.452674	0.445246	0.116451
14		0.456865	35.731129	1.450710	0.476504	0.211554
15		0.454795	35.723366	1.451811	0.459387	0.212153
16		0.454305	36.277802	1.476816	0.464416	0.164514
17		0.475923	35.781433	1.451756	0.439909	0.128720
18		0.454948	35.794846	1.452299	0.456015	0.183166
19		0.455396	35.683319	1.488145	0.496257	0.231611
20		0.481454	36.074890	1.450555	0.489477	0.192451
21		0.455978	36.618591	1.450826	0.457927	0.149036
22		0.461361	35.692558	1.452456	0.505358	0.141095
23		0.457676	35.711452	1.452620	0.486945	0.202528
24		0.457882	36.019859	1.453797	0.454070	0.130542
25		0.459822	36.759190	1.451531	0.497330	0.248416
26		0.455175	35.581352	1.451568	0.504467	0.158856
27		0.454221	35.549553	1.451512	0.474143	0.221667
28		0.453612	35.834942	1.452840	0.476299	0.238803
29		0.455570	36.015339	1.482493	0.494939	0.182253
30		0.485163	35.879116	1.469216	0.442076	0.214738


Number of dimensions: 256

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		1.688713	144.550079	5.446298	0.225051	0.093762
2		1.737964	144.570877	5.441831	0.221805	0.076878
3		1.706227	141.928284	5.441496	0.243211	0.095831
4		1.711844	141.996887	5.442155	0.221503	0.104560
5		1.727319	142.907425	5.437449	0.231368	0.069344
6		1.683803	142.444748	5.437674	0.223180	0.096806
7		1.692059	142.030487	5.443166	0.225861	0.078992
8		1.721969	142.664078	5.439289	0.225439	0.098406
9		1.706114	142.059631	5.435290	0.215341	0.090410
10		1.679656	141.900436	5.440710	0.210168	0.082153
11		1.694281	142.117538	5.442993	0.242522	0.137920
12		1.719403	142.400436	5.442551	0.249648	0.132748
13		1.698418	141.956894	5.445748	0.212375	0.101215
14		1.706656	142.685669	5.439700	0.215745	0.071276
15		1.703619	144.110306	5.478429	0.218616	0.063613
16		1.697415	145.210953	5.442376	0.216469	0.056959
17		1.708221	142.635513	5.443653	0.211299	0.081826
18		1.699488	142.778473	5.438652	0.211338	0.076543
19		1.712007	141.969086	5.443616	0.213891	0.120407
20		1.722895	142.329361	5.438638	0.227828	0.099673
21		1.705056	142.016907	5.575471	0.213936	0.080398
22		1.698555	143.181274	5.438098	0.239375	0.062991
23		1.696309	143.841583	5.440070	0.225725	0.100244
24		1.698021	143.455048	5.439227	0.225875	0.068458
25		1.690244	144.201202	5.458749	0.221361	0.107661
26		1.754598	143.702118	5.444268	0.218750	0.089951
27		1.687257	143.098495	5.442084	0.244473	0.075082
28		1.688484	143.294098	5.437383	0.238396	0.106546
29		1.695991	143.009979	5.437198	0.229205	0.081995
30		1.692756	144.891998	5.442368	0.228618	0.068144

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		1.807936	141.848480	5.446234	0.221928	0.077474
2		1.813612	141.996765	5.444891	0.244210	0.073651
3		1.805889	141.851013	5.442638	0.220678	0.066111
4		1.806603	142.148880	5.438284	0.234138	0.078735
5		1.803840	142.617737	5.443335	0.211824	0.101814
6		1.809868	142.434891	5.454725	0.223993	0.085744
7		1.808740	142.066147	5.443494	0.224524	0.095586
8		1.803988	142.029251	5.444723	0.221303	0.107267
9		1.804782	142.185303	5.441743	0.272717	0.096920
10		1.802784	142.383484	5.438863	0.233165	0.125863
11		1.806315	143.016418	5.439084	0.222589	0.060220
12		1.807680	142.177429	5.437044	0.231098	0.096595
13		1.802322	142.386078	5.437572	0.211892	0.058636
14		1.801137	143.441650	5.443830	0.222268	0.108932
15		1.804084	142.699875	5.441425	0.230675	0.052319
16		1.805495	142.103943	5.442510	0.237633	0.104052
17		1.801428	142.314804	5.436297	0.220851	0.092841
18		1.802814	143.335114	5.529702	0.222660	0.086716
19		1.802884	142.092346	5.441136	0.237583	0.091496
20		1.805246	142.022079	5.440014	0.212338	0.105545
21		1.802787	142.245468	5.441121	0.220853	0.064931
22		1.804939	142.141525	5.441340	0.228824	0.076453
23		1.804704	142.029770	5.440674	0.227570	0.112973
24		1.804432	142.125183	5.436617	0.221346	0.071931
25		1.802137	141.888138	5.441285	0.224991	0.079031
26		1.805830	142.644775	5.438159	0.209980	0.082843
27		1.801509	142.725388	5.443619	0.227402	0.086715
28		1.803766	142.101746	5.442354	0.220872	0.116056
29		1.803022	142.159866	5.447683	0.237465	0.102381
30		1.802599	143.441299	5.485729	0.218961	0.089247


Number of dimensions: 1024

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		2.704612	574.031372	21.486513	0.112697	0.044538
2		2.705012	576.274902	21.545122	0.108717	0.051277
3		2.704211	572.962585	21.423351	0.110737	0.041552
4		2.724724	577.577087	21.433002	0.116323	0.057108
5		2.716863	576.701538	21.407526	0.112376	0.044999
6		2.719659	576.041748	21.404900	0.110645	0.061857
7		2.709801	575.220337	21.429239	0.106606	0.047186
8		2.713423	573.899658	21.967468	0.103447	0.043025
9		2.715096	577.116516	21.478195	0.110032	0.028389
10		2.715767	577.523193	21.605032	0.112967	0.046826
11		2.720705	572.755432	21.446848	0.117001	0.058931
12		2.716620	578.624939	21.426359	0.128170	0.046922
13		2.716550	576.036987	21.475672	0.112608	0.030407
14		2.712016	576.217957	21.448215	0.117345	0.047998
15		2.715857	575.830322	21.389368	0.115570	0.046438
16		2.712047	575.327576	21.448334	0.126917	0.047081
17		2.716432	575.375916	21.416941	0.118624	0.040538
18		2.714003	575.192932	21.443939	0.109474	0.040239
19		2.718069	576.750793	21.628839	0.119735	0.029620
20		2.708214	575.234192	21.433643	0.113482	0.055842
21		2.719682	575.436279	21.456274	0.119630	0.053973
22		2.710612	572.004395	21.433029	0.121617	0.058593
23		2.714907	575.601074	21.550446	0.128425	0.035847
24		2.772748	575.875244	21.463957	0.120269	0.037820
25		2.714629	577.415283	21.474771	0.125227	0.051174
26		2.721036	576.729797	21.531796	0.116096	0.039270
27		2.713023	575.095459	21.419996	0.114696	0.039751
28		2.708244	575.631653	21.411674	0.119995	0.040169
29		2.711416	577.333069	21.477579	0.113652	0.056240
30		2.707921	576.669128	21.391357	0.107656	0.067148

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		7.202336	570.864502	21.439838	0.114871	0.044103
2		7.292621	575.952637	21.426338	0.103988	0.050919
3		7.205464	573.038513	21.477440	0.119782	0.060129
4		7.187088	575.226562	21.425072	0.105576	0.054292
5		7.183091	573.023621	21.680182	0.117233	0.057238
6		7.378636	576.081421	21.425848	0.122349	0.044248
7		7.186388	577.779602	21.432928	0.109759	0.061831
8		7.274204	576.664612	21.456024	0.113342	0.031262
9		7.187307	576.121521	21.447165	0.113665	0.030900
10		7.182734	576.091064	21.435305	0.108305	0.037334
11		7.263405	576.699158	21.456144	0.110822	0.041565
12		7.215562	575.871399	21.654984	0.115303	0.034569
13		7.506588	579.163147	21.447966	0.107934	0.040873
14		7.216330	577.570679	21.428804	0.117779	0.057595
15		7.198386	576.798889	21.399336	0.112359	0.045102
16		7.256681	580.638733	21.410500	0.108489	0.053413
17		7.218515	577.605774	21.450726	0.119222	0.072753
18		7.363254	577.874023	21.467512	0.117384	0.043053
19		7.200392	576.681458	21.416439	0.118733	0.050324
20		7.207926	575.103821	21.423649	0.107400	0.041562
21		7.198145	575.177368	21.474155	0.109857	0.031525
22		7.188034	577.059814	21.401400	0.113280	0.041908
23		7.176645	579.804138	21.628489	0.126485	0.049368
24		7.205225	575.454407	21.469210	0.111136	0.028519
25		7.264680	581.129028	21.412107	0.109738	0.065837
26		7.270963	577.603027	21.460283	0.121102	0.048619
27		7.183470	585.709839	21.983105	0.122291	0.042133
28		7.186271	573.904846	21.485500	0.113461	0.049283
29		7.233903	576.214966	21.403311	0.121466	0.053972
30		7.205810	578.861816	21.678707	0.110085	0.059815


Number of dimensions: 4096

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		10.569351	2317.239502	85.553139	0.058727	0.025855
2		10.643796	2330.690186	85.668663	0.055123	0.025529
3		10.626572	2317.890869	85.550705	0.055844	0.020270
4		10.871497	2334.175781	85.579025	0.058400	0.029778
5		10.582444	2319.559082	86.199722	0.056581	0.020933
6		10.666758	2314.370605	85.649681	0.058212	0.024705
7		10.592644	2318.887695	85.674408	0.055569	0.025668
8		10.611432	2314.529297	85.515289	0.054592	0.022436
9		10.592506	2319.770020	85.485710	0.055690	0.018949
10		10.605357	2326.752441	85.528427	0.057678	0.023602
11		10.656091	2308.834961	86.215561	0.059236	0.028194
12		10.605270	2345.096680	86.513168	0.054615	0.022098
13		10.649191	2344.055176	86.046059	0.057122	0.028578
14		10.721926	2343.172852	86.987244	0.057100	0.022481
15		10.709062	2320.896484	85.822563	0.054560	0.023051
16		10.681862	2334.458740	86.008270	0.057036	0.019883
17		10.624640	2343.084473	85.718330	0.059872	0.019861
18		10.758823	2327.616455	86.109566	0.056822	0.023394
19		10.636316	2329.363770	87.054565	0.055679	0.014518
20		10.747520	2329.495117	85.706573	0.054981	0.014593
21		10.675886	2352.310059	86.802879	0.053378	0.017313
22		10.832118	2355.887207	87.054085	0.062331	0.019600
23		10.651944	2355.626709	89.528969	0.058467	0.023236
24		11.145992	2336.420166	86.012878	0.054264	0.021790
25		11.375895	2336.955078	85.901802	0.052738	0.021462
26		10.650712	2328.934082	86.232559	0.055084	0.018595
27		10.703626	2334.216309	87.166565	0.051619	0.023046
28		10.650810	2337.239990	88.148148	0.055807	0.027012
29		10.734222	2334.189209	87.044594	0.059376	0.028156
30		10.696349	2326.588867	86.337250	0.058653	0.028512


Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		28.885950	2323.672363	86.386604	0.054638	0.013923
2		28.738688	2330.628906	86.004578	0.053835	0.011439
3		28.784468	2325.359131	86.272766	0.058988	0.027711
4		30.332872	2346.368652	85.643661	0.054457	0.029398
5		29.002159	2368.130615	86.091949	0.063525	0.016659
6		28.750298	2343.144043	89.897499	0.054722	0.027095
7		29.424755	2333.034668	86.175568	0.053252	0.019351
8		28.707094	2328.052246	86.463440	0.056026	0.030099
9		29.184092	2340.697510	85.896729	0.063478	0.019476
10		28.861500	2392.217285	89.036163	0.057392	0.026272
11		31.375801	2455.331543	94.855164	0.055828	0.019827
12		32.194778	2466.483154	91.976974	0.053665	0.026134
13		32.708889	2446.928955	92.653564	0.056748	0.024667
14		30.360870	2442.486328	92.752579	0.053653	0.026962
15		31.868971	2471.659180	92.574844	0.055626	0.030528
16		31.905416	2415.919434	98.802460	0.053114	0.016309
17		31.416424	2434.114502	90.240707	0.057145	0.032203
18		30.702225	2421.749512	89.789238	0.053849	0.029796
19		30.163416	2340.427246	86.431526	0.056314	0.025168
20		28.932163	2339.241943	88.011894	0.055341	0.024473
21		29.189005	2346.903076	87.784866	0.062842	0.018835
22		28.868444	2364.980225	88.407310	0.060219	0.031012
23		29.221815	2357.534180	88.016953	0.058351	0.023078
24		28.871328	2376.069824	86.517593	0.055171	0.028926
25		28.909508	2345.442383	86.373993	0.056978	0.022408
26		29.095505	2346.916260	89.010933	0.056346	0.019235
27		29.315388	2344.607666	86.392632	0.055072	0.021009
28		28.973532	2346.602783	88.192848	0.058247	0.018949
29		29.226044	2334.622070	87.529335	0.054079	0.021194
30		29.148256	2339.210205	86.478622	0.060010	0.028452


Number of dimensions: 15768

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		111.471542	9007.048828	335.076019	0.031013	0.011484
2		111.230164	8801.809570	329.075836	0.027768	0.012460
3		111.257217	8796.085938	330.462585	0.028050	0.009810
4		111.660843	8785.522461	328.739532	0.031167	0.010922
5		111.987305	8801.662109	330.096466	0.027959	0.009769
6		113.197617	8817.082031	329.676422	0.029077	0.010186
7		111.522736	8809.825195	329.889465	0.030889	0.008772
8		111.485580	8827.009766	328.998596	0.028338	0.012862

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		43.419003	9039.035156	331.498779	0.030906	0.010469
2		43.558681	8853.958984	332.233765	0.029720	0.012438
3		43.424255	8879.450195	334.772919	0.028482	0.014234
4		45.111824	8925.936523	332.678528	0.027789	0.009677
5		45.006687	8850.129883	331.976501	0.028183	0.011766
6		43.631401	8845.834961	330.974823	0.028430	0.012389
7		43.545517	8929.682617	333.317719	0.026308	0.014632
8		43.526623	9004.711914	352.841675	0.027537	0.009622
9		45.339703	9364.598633	352.045654	0.028125	0.014053
10		45.656017	9293.492188	344.547058	0.028864	0.008225
11		43.690643	8909.287109	336.390167	0.039021	0.016577
12		45.509575	8962.324219	332.576721	0.029946	0.009597
13		43.977882	8903.652344	330.826141	0.029302	0.010974
